subject,count,link
"livestock",39,"http://localhost:4000/digital/iddings/browse.html#livestock"
"horses",18,"http://localhost:4000/digital/iddings/browse.html#horses"
"transport",17,"http://localhost:4000/digital/iddings/browse.html#transport"
"transportation",17,"http://localhost:4000/digital/iddings/browse.html#transportation"
"sheep",15,"http://localhost:4000/digital/iddings/browse.html#sheep"
"cows",13,"http://localhost:4000/digital/iddings/browse.html#cows"
"dwellings",7,"http://localhost:4000/digital/iddings/browse.html#dwellings"
"cattle",6,"http://localhost:4000/digital/iddings/browse.html#cattle"
"oxen",3,"http://localhost:4000/digital/iddings/browse.html#oxen"
"goats",3,"http://localhost:4000/digital/iddings/browse.html#goats"
"windmills",2,"http://localhost:4000/digital/iddings/browse.html#windmills"
"dwelling",2,"http://localhost:4000/digital/iddings/browse.html#dwelling"
"gondolas",2,"http://localhost:4000/digital/iddings/browse.html#gondolas"
"cruise ships",2,"http://localhost:4000/digital/iddings/browse.html#cruise%20ships"
"india -- pictorial works",2,"http://localhost:4000/digital/iddings/browse.html#india%20--%20pictorial%20works"
"boats",2,"http://localhost:4000/digital/iddings/browse.html#boats"
"aqueducts",2,"http://localhost:4000/digital/iddings/browse.html#aqueducts"
"passenger trains",2,"http://localhost:4000/digital/iddings/browse.html#passenger%20trains"
"wooden shoes",2,"http://localhost:4000/digital/iddings/browse.html#wooden%20shoes"
"irrigation",2,"http://localhost:4000/digital/iddings/browse.html#irrigation"
"shepherds",2,"http://localhost:4000/digital/iddings/browse.html#shepherds"
"machines",2,"http://localhost:4000/digital/iddings/browse.html#machines"
"hay -- handling",2,"http://localhost:4000/digital/iddings/browse.html#hay%20--%20handling"
"ox",2,"http://localhost:4000/digital/iddings/browse.html#ox"
"rivers -- india",1,"http://localhost:4000/digital/iddings/browse.html#rivers%20--%20india"
"egypt -- antiquities",1,"http://localhost:4000/digital/iddings/browse.html#egypt%20--%20antiquities"
"temples -- egypt",1,"http://localhost:4000/digital/iddings/browse.html#temples%20--%20egypt"
"luxor (egypt)",1,"http://localhost:4000/digital/iddings/browse.html#luxor%20(egypt)"
"rome (italy)",1,"http://localhost:4000/digital/iddings/browse.html#rome%20(italy)"
"ganges river (india and bangladesh)",1,"http://localhost:4000/digital/iddings/browse.html#ganges%20river%20(india%20and%20bangladesh)"
"tombs -- egypt",1,"http://localhost:4000/digital/iddings/browse.html#tombs%20--%20egypt"
"great pyramid (egypt)",1,"http://localhost:4000/digital/iddings/browse.html#great%20pyramid%20(egypt)"
"normandy (france)",1,"http://localhost:4000/digital/iddings/browse.html#normandy%20(france)"
"le mont-saint-michel (france)",1,"http://localhost:4000/digital/iddings/browse.html#le%20mont-saint-michel%20(france)"
"islands -- india",1,"http://localhost:4000/digital/iddings/browse.html#islands%20--%20india"
"dams",1,"http://localhost:4000/digital/iddings/browse.html#dams"
"venice (italy)",1,"http://localhost:4000/digital/iddings/browse.html#venice%20(italy)"
"aberdeen (scotland)",1,"http://localhost:4000/digital/iddings/browse.html#aberdeen%20(scotland)"
"roman aqueduct",1,"http://localhost:4000/digital/iddings/browse.html#roman%20aqueduct"
"cemetery",1,"http://localhost:4000/digital/iddings/browse.html#cemetery"
"ostend (belgium)",1,"http://localhost:4000/digital/iddings/browse.html#ostend%20(belgium)"
"buildings",1,"http://localhost:4000/digital/iddings/browse.html#buildings"
"aqueducts -- france",1,"http://localhost:4000/digital/iddings/browse.html#aqueducts%20--%20france"
"pont du gard (france)",1,"http://localhost:4000/digital/iddings/browse.html#pont%20du%20gard%20(france)"
"cabbage",1,"http://localhost:4000/digital/iddings/browse.html#cabbage"
"grasslands",1,"http://localhost:4000/digital/iddings/browse.html#grasslands"
"france)",1,"http://localhost:4000/digital/iddings/browse.html#france)"
"eiffel tower (paris",1,"http://localhost:4000/digital/iddings/browse.html#eiffel%20tower%20(paris"
"lincoln (n.z.)",1,"http://localhost:4000/digital/iddings/browse.html#lincoln%20(n.z.)"
"horse show",1,"http://localhost:4000/digital/iddings/browse.html#horse%20show"
"children",1,"http://localhost:4000/digital/iddings/browse.html#children"
"castles",1,"http://localhost:4000/digital/iddings/browse.html#castles"
"chimney",1,"http://localhost:4000/digital/iddings/browse.html#chimney"
"animal traction",1,"http://localhost:4000/digital/iddings/browse.html#animal%20traction"
